"Зона","Работа","Поддерживающая","Генеральная","После ремонта"
"Комната и коридор","Разложим вещи по местам","Включено","Включено","от 1000 руб./час"
"Комната и коридор","Застелить кровать","Включено","Включено","—"
"Комната и коридор","Протрем выключатели, дверные ручки и розетки","Включено","Включено","Включено"
"Комната и коридор","Натрем зеркала и стеклянные поверхности","на высоту вытянутой руки","Включено","Включено"
"Комната и коридор","Натирка зеркал и стеклянных поверхностей (на всю высоту)","от 499 руб.","Включено","Включено"
"Комната и коридор","Обработаем оргтехнику","Включено","Включено","Включено"
"Комната и коридор","Протрем подоконники","Включено","Включено","Включено"
"Комната и коридор","Проведем сухую чистку ковровых покрытий","Включено","Включено","—"
"Комната и коридор","Пылесосим пол","—","Включено","—"
"Комната и коридор","Помоем пол и протрем плинтуса","Включено","Включено","Включено"
"Комната и коридор","Удалим пыль с поверхностей корпусной и встроенной мебели (на всю высоту)","—","Включено","Включено"
"Комната и коридор","Удалим пыль с осветительных приборов (кроме хрустальных)","—","Включено","Включено"
"Комната и коридор","Помоем хрустальные люстры","—","от 1000 руб.","от 1000 руб."
"Комната и коридор","Удалим пыль с открытых, доступных поверхностей мебели","до 1,8 м","Включено","Включено"
"Комната и коридор","Уберем пыль с предметов интерьера","до 1,8 м","Включено","Включено"
"Комната и коридор","Помоем отопительные приборы","—","Включено","Включено"
"Комната и коридор","Проведем сухую чистку мягкой мебели","—","Включено","Включено"
"Комната и коридор","Удалим пыль с карнизов, кондиционеров","—","Включено","Включено"
"Комната и коридор","Помоем двери, дверные откосы, наличники","—","Включено","Включено"
"Комната и коридор","Заменим постельное белье","299","Включено","—"
"Комната и коридор","Уберем пыль со стен","—","Включено","Включено"
"Комната и коридор","Мытье стен (очистка от различных загрязнений)","—","от 1000 руб.","от 1000 руб."
"Комната и коридор","Протрем корпусную мебель внутри (пустую)","от 499 руб.","Включено","Включено"
"Комната и коридор","Снимем/постираем/повесим шторы (кроме дизайнерских)","400 руб. за комплект (тюль+2 шторы)","600 руб. за комплект (тюль+2 шторы)","600 руб. за комплект (тюль+2 шторы)"
"Комната и коридор","Помоем окна, рамы, откосы","от 399 руб. за створку/м²","от 399 руб. за створку/м²","от 450 руб. за створку/м²"
"Комната и коридор","Почистим жалюзи","от 299 руб.","от 299 руб.","от 299 руб."
"Комната и коридор","Помоем лоток питомца","299","300","—"
"Комната и коридор","Изъятие вещей и предметов из шкафов","от 499 руб.","от 499 руб.","от 499 руб."
"Комната и коридор","Глажка","—","799 руб./час","—"
"Комната и коридор","Глажка белья/одежды","от 799 руб. за час","—","—"
"Комната и коридор","Удалим строительную пыль с потолка","—","—","Включено"
