"Группа","Заголовок 1","Заголовок 2","Текст","Ссылка","Отображаемая ссылка","Уточнения","Быстрые ссылки"
"G1 Цена","Генеральная уборка — цена по площади","от 10 000 ₽ по площади","Честная фикс-цена по площади, от 10 000 ₽. Без доплат за грязь. Москва и МО.","https://general-cleaning.ru/ceny?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g1","general-cleaning.ru/ceny","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G1 Цена","Сколько стоит генеральная уборка","Расчёт за минуту","Рассчитайте стоимость за минуту. От 10 000 ₽. Договор и гарантия.","https://general-cleaning.ru/ceny?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g1","general-cleaning.ru/ceny","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G1 Цена","Генеральная уборка от 10 000 ₽","Договор и гарантия","Цена зависит только от площади. Окна, кухня, санузел — уже в стоимости.","https://general-cleaning.ru/ceny?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g1","general-cleaning.ru/ceny","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G2 Квартира","Генеральная уборка квартиры под ключ","от 10 000 ₽ по площади","Окна, кухня, санузел и труднодоступные места за один выезд. От 10 000 ₽.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g2","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G2 Квартира","Заказать генеральную уборку квартиры","Выезд на следующий день","Приедём на следующий день. Свои средства, договор, гарантия. Москва и МО.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g2","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G2 Квартира","Генеральная уборка квартиры в Москве","Москва и ближняя МО","Уберём под ключ — заезжайте в чистую квартиру. Фикс-цена по площади.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g2","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G3 Москва","Генеральная уборка в Москве и МО","от 10 000 ₽ по площади","Работаем по Москве и ближнему Подмосковью. От 10 000 ₽, цена по площади.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g3","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G3 Москва","Генеральная уборка — Москва, выезд завтра","Выезд на следующий день","Приедём в удобное время на следующий день. Договор и гарантия на работы.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g3","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G3 Москва","Заказать генеральную уборку в Москве","Расчёт за минуту","Глубокая уборка за один выезд: окна, кухня, санузел. От 10 000 ₽.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g3","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G4 Клининг","Клининг: генеральная уборка под ключ","Своя компания · договор","ГенералКлининг: проверенные клинеры, безопасные средства, гарантия.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g4","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G4 Клининг","Услуги генеральной уборки в Москве","от 10 000 ₽ по площади","Не агрегатор, а своя компания. Договор, чек, гарантия. От 10 000 ₽.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g4","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G4 Клининг","Генеральная уборка — своя клининговая компания","Договор и гарантия","Клининговые услуги по Москве и МО. Окна, кухня, санузел за выезд.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g4","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G5 1-комн","Генеральная уборка 1-комнатной квартиры","от 10 000 ₽ по площади","Однушка или студия под ключ за один выезд. От 10 000 ₽. Москва и МО.","https://general-cleaning.ru/generalnaya-1-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g5","general-cleaning.ru/1-komnatnaya","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G5 1-комн","Генеральная уборка однушки и студии","Выезд на следующий день","Окна, кухня, санузел. Фикс-цена по площади. Выезд на следующий день.","https://general-cleaning.ru/generalnaya-1-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g5","general-cleaning.ru/1-komnatnaya","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G5 1-комн","Уборка 1-комнатной — от 10 000 ₽","Фикс-цена по площади","Заедете в чистую квартиру. Договор и гарантия. Безопасные средства.","https://general-cleaning.ru/generalnaya-1-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g5","general-cleaning.ru/1-komnatnaya","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G6 2-комн","Генеральная уборка 2-комнатной квартиры","от 12 500 ₽ по площади","Двушка под ключ за один выезд: окна, кухня, санузел. От 12 500 ₽.","https://general-cleaning.ru/generalnaya-2-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g6","general-cleaning.ru/2-komnatnaya","Выезд на следующий день|от 12 500 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G6 2-комн","Уборка двухкомнатной квартиры под ключ","Выезд на следующий день","Фикс-цена по площади, без доплат за грязь. Выезд на следующий день.","https://general-cleaning.ru/generalnaya-2-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g6","general-cleaning.ru/2-komnatnaya","Выезд на следующий день|от 12 500 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
